3-1-22 16:03:41, user, 1, 1, "Location update rate", 16 Hz, 8 Hz
3-1-22 16:03:41, user, 1, 1, "Extrapolation", enabled, disabled
3-1-22 16:03:41, user, 1, 1, "Service zones visible", disabled, enabled
3-1-22 16:03:41, user, 1, 1, "Service zones active", disabled, enabled
3-1-22 16:03:41, user, 1, 1, "Detect new devices in frozen mode", disabled, enabled
3-1-22 16:03:41, user, 1, 1, "Window of averaging (0..16)", 0, 4
3-1-22 16:03:41, user, 1, 1, "Distance filter (0..16)", 8, 0
3-1-22 16:03:41, user, 1, 1, "Max. hedges readout per cycle (1..255)", 10, 0
3-1-22 16:03:41, user, 1, 1, "Jitter granularity, ms (1..16)", 3, 1
3-1-22 16:03:41, user, 1, 1, "Jitter area, % (0..50)", 25, 0
3-1-22 16:03:48, user, 7, 0, erase map, 0
3-1-22 16:06:26, user, 11, 73, device wake, 
3-1-22 16:06:30, user, 11, 76, device wake, 
3-1-22 16:06:32, user, 11, 83, device wake, 
3-1-22 16:06:34, user, 11, 85, device wake, 
3-1-22 16:06:35, user, 11, 91, device wake, 
3-1-22 16:07:15, user, 11, 91, device wake, 
3-1-22 16:08:36, user, 1, 73, "Pairing mode", no pairing, pair
3-1-22 16:08:39, user, 1, 73, "IMU fusion for angle", disabled, enabled
3-1-22 16:08:39, user, 1, 73, "Send location of center", disabled, enabled
3-1-22 16:08:49, user, 1, 91, "Pairing mode", no pairing, pair
3-1-22 16:08:52, user, 1, 91, "IMU fusion for angle", disabled, enabled
3-1-22 16:08:52, user, 1, 91, "Send location of center", disabled, enabled
3-1-22 16:09:05, user, 1, 85, "Pairing mode", no pairing, pair
3-1-22 16:09:07, user, 1, 85, "IMU fusion for angle", disabled, enabled
3-1-22 16:09:07, user, 1, 85, "Send location of center", disabled, enabled
3-1-22 16:09:36, user, 1, 85, "IMU mode", All off, High performance
3-1-22 16:09:38, user, 1, 85, "IMU mode", High performance, Normal
3-1-22 16:09:40, user, 1, 85, "IMU mode", Normal, Low power
3-1-22 16:09:41, user, 1, 85, "IMU mode", Low power, Gyro off
3-1-22 16:09:43, user, 1, 85, "IMU mode", Gyro off, All off
3-1-22 16:10:04, user, 1, 83, "Pairing mode", no pairing, pair
3-1-22 16:10:08, user, 1, 83, "IMU fus
